symbol,date,open,high,low,close,volume
A,2016-12-29,45.680000,46.000000,45.570000,45.639999,891000
AAL,2016-12-29,47.799999,48.000000,46.959999,47.250000,3709300
AAP,2016-12-29,170.080002,171.080002,169.460007,170.279999,431400
AAPL,2016-12-29,116.449997,117.110001,116.400002,116.730003,15039500
ABBV,2016-12-29,62.389999,63.060001,62.389999,62.730000,4990000
ABC,2016-12-29,78.610001,80.239998,78.589996,79.339996,979500
ABT,2016-12-29,38.299999,38.509998,38.110001,38.310001,7050800
ACN,2016-12-29,116.980003,117.980003,116.510002,117.010002,1631500
ADBE,2016-12-29,103.629997,104.389999,103.410004,103.680000,1095000
ADI,2016-12-29,73.379997,73.879997,73.230003,73.580002,1331000
ADM,2016-12-29,45.270000,45.720001,45.250000,45.360001,1947600
ADP,2016-12-29,103.269997,103.849998,103.000000,103.449997,1264500
ADS,2016-12-29,229.679993,231.190002,227.820007,229.250000,418200
ADSK,2016-12-29,74.870003,75.440002,74.500000,74.980003,1019500
AEE,2016-12-29,52.270000,52.700001,51.959999,52.560001,922600
AEP,2016-12-29,62.680000,63.380001,62.500000,63.279999,1508100
AES,2016-12-29,11.750000,11.760000,11.650000,11.700000,2364000
AET,2016-12-29,124.860001,125.360001,124.320000,124.449997,1151500
AFL,2016-12-29,69.860001,70.129997,69.800003,69.830002,1388300
AGN,2016-12-29,203.690002,208.360001,203.690002,207.210007,4829000
AIG,2016-12-29,66.000000,66.190002,65.440002,65.500000,3299200
AIV,2016-12-29,44.360001,44.840000,44.250000,44.700001,653200
AIZ,2016-12-29,92.900002,93.629997,92.550003,92.669998,427200
AJG,2016-12-29,51.669998,51.910000,51.650002,51.840000,909700
AKAM,2016-12-29,67.139999,67.830002,66.879997,67.040001,589400
ALB,2016-12-29,86.730003,87.139999,86.309998,87.070000,344700
ALK,2016-12-29,88.709999,89.360001,87.839996,88.529999,770500
ALL,2016-12-29,74.379997,74.570000,74.199997,74.279999,1181900
ALLE,2016-12-29,64.870003,65.160004,64.430000,64.769997,332200
ALXN,2016-12-29,123.519997,123.839996,121.919998,123.629997,1008400
AMAT,2016-12-29,32.799999,32.990002,32.480000,32.660000,4293800
AME,2016-12-29,48.750000,48.950001,48.450001,48.660000,883600
AMG,2016-12-29,143.500000,145.399994,143.039993,143.929993,495700
AMGN,2016-12-29,147.369995,148.690002,147.369995,147.779999,1655500
AMP,2016-12-29,110.889999,111.690002,109.190002,109.919998,670200
AMT,2016-12-29,105.910004,106.769997,105.750000,106.389999,1584200
AMZN,2016-12-29,772.400024,773.400024,760.849976,765.150024,3153500
AN,2016-12-29,48.470001,49.150002,48.250000,48.680000,459100
ANTM,2016-12-29,144.750000,145.949997,144.330002,144.759995,568000
AON,2016-12-29,112.050003,112.279999,111.320000,111.419998,445700
APA,2016-12-29,64.349998,64.610001,63.509998,63.869999,1735000
APC,2016-12-29,70.540001,70.620003,69.629997,70.110001,2324100
APD,2016-12-29,144.449997,145.050003,144.169998,144.369995,479300
APH,2016-12-29,67.660004,68.019997,67.150002,67.599998,587000
ARNC,2016-12-29,19.260000,19.299999,18.680000,18.700001,4650500
ATVI,2016-12-29,36.500000,36.779999,36.290001,36.480000,3855100
AVB,2016-12-29,173.899994,176.169998,173.330002,175.600006,601700
AVGO,2016-12-29,179.699997,180.669998,178.630005,179.869995,1367100
AVY,2016-12-29,70.860001,71.570000,70.349998,70.620003,365100
AWK,2016-12-29,71.980003,72.790001,71.760002,72.720001,794200
AXP,2016-12-29,74.269997,74.680000,73.500000,73.919998,2573700
